scope,model,gauge,sequence,absrel,rmse,delta1,tce,failed,catastrophic,n
L256_existing_13,drop_sp,none,rgbd_bonn_static_close_far,0.3440750137612251,1.2205675600652397,0.3199409331600772,0.017130060487738102,0,0,6
L256_existing_13,drop_sp,none,rgbd_dataset_freiburg3_walking_static,0.18341114172217443,0.8937237122760977,0.8175308717195398,0.04159622594215641,0,0,2
L256_existing_13,drop_sp,median,rgbd_bonn_crowd2,0.205931443888946,0.4941718731724379,0.7806469612680841,0.039964138509688746,0,0,3
L256_existing_13,drop_sp,median,rgbd_bonn_person_tracking2,0.1202671703384348,0.4451316485954329,0.8618409882852655,0.025452026904269176,0,0,2
L256_existing_13,drop_sp,median,rgbd_bonn_static_close_far,0.23345850803563947,0.6051619384522744,0.7300132162773522,0.019229527425643832,0,0,6
L256_existing_13,drop_sp,median,rgbd_dataset_freiburg3_walking_static,0.18144252246060502,0.9284104653159155,0.8112347131132037,0.04394294728130168,0,0,2
L256_existing_13,drop_sp,scaleshift,rgbd_bonn_crowd2,0.1759567683448933,0.5360877400583838,0.7654462813392109,0.042788541760172966,0,0,3
L256_existing_13,drop_sp,scaleshift,rgbd_bonn_person_tracking2,0.11519411543282694,0.4617526698013118,0.8733434484851142,0.02268057051321748,0,0,2
L256_existing_13,drop_sp,scaleshift,rgbd_bonn_static_close_far,0.38722241477156516,21.93822800431775,0.657816831374478,0.09978126811294953,3,1,6
L256_existing_13,drop_sp,scaleshift,rgbd_dataset_freiburg3_walking_static,0.1917293364442461,0.9416633052391513,0.773892503110857,0.039659752708273675,0,0,2
L256_existing_13,delta_no_sp,none,rgbd_bonn_crowd2,0.16283845592030663,0.38385500740202727,0.8381368074713451,0.030904958840720177,0,0,3
L256_existing_13,delta_no_sp,none,rgbd_bonn_person_tracking2,0.10344953887487582,0.40175254219082496,0.8850678672358151,0.018460697136268238,0,0,2
L256_existing_13,delta_no_sp,none,rgbd_bonn_static_close_far,0.33842905681838453,1.2313692862991965,0.3194283365132259,0.014618752586910382,0,0,6
L256_existing_13,delta_no_sp,none,rgbd_dataset_freiburg3_walking_static,0.19025607324314833,0.9267019071464629,0.8365260975541985,0.03566392702851826,0,0,2
L256_existing_13,delta_no_sp,median,rgbd_bonn_crowd2,0.16305270955898088,0.383302549274887,0.8347446987607415,0.031261751133822395,0,0,3
L256_existing_13,delta_no_sp,median,rgbd_bonn_person_tracking2,0.10531291540305542,0.3833768847863707,0.9060021245575809,0.01914457265388193,0,0,2
L256_existing_13,delta_no_sp,median,rgbd_bonn_static_close_far,0.21995744215105972,0.5399101863861133,0.7629741799721704,0.016520432686963824,0,0,6
